ALARMID	ALARMCODE	CATEGORY	DESCRIPTION	SEVERITY	ALARM_CAUSE	SEVERITY_DESC	SEVERITY_RATIO
1	0	시스템	PORT BCR READ FAIL	3	설비기인	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
1	6	설비이상	INV-01 Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
3	6	설비이상	INV-01 Ready Off Error 	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
4	6	설비이상	INV-02 Ready Off Error 	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
5	6	설비이상	INV-01 RunTimeOver Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
6	6	설비이상	INV-02 RunTimeOver Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
7	4	통신	[ERR007] [M5007] THREAD NON RESPONSIVE	3	설비기인	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
7	6	설비이상	INV CP 01 POWER TRIP	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
8	6	설비이상	INV CP 02 POWER TRIP	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
10	6	설비이상	STP-01 Up Cylinder Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
11	6	설비이상	STP-01 Down Cylinder Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
16	6	설비이상	RESERVED	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
23	0	시스템	[SC] 23.Spare	3	Unknown	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
24	0	시스템	[SC] 24.Spare	3	Unknown	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
28	1	안전	Light Curtain-01 Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
28	6	설비이상	Light Curtain-01 Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
29	6	설비이상	Light Curtain-02 Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
30	0	시스템	RTV CAR Return to Origin Error	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
30	6	설비이상	Tray Abnomal Error-01	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
32	6	설비이상	RESERVED	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
33	6	설비이상	Conveyor Run LIFT POT Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
35	0	시스템	RTV CAR FIBER Communication ERROR	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
36	0	시스템	RTV CAR DistanceSensor TIME DELAY	3	설비기인	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
39	0	시스템	MCP REAR DOOR OPEN2	3	Unknown	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
40	6	설비이상	PIO BUSY ON Timer Over Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
41	6	설비이상	PIO Complete ON Timer Over Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
42	6	설비이상	[SC] 42.Travel Driver Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
43	2	감지	[SC] 43.Travel Overload Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
47	0	시스템	RTV CAR L/R CARRIER DET Sensor DELAY	3	설비기인	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
47	6	설비이상	Tray Data Mismatch Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
47	9	프로세스	Tray Data Mismatch Error	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
48	6	설비이상	Tray ID LOSS 	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
